date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:17	34410/34410	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2023:41:18%20GMT	https://zapo.site/app/62823c3/?clashroyale	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/zapo.site/app/62823c3/index44cb.html	(from )
00:41:17	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Aug%202021%2023:41:18%20GMT	https://zapo.site/robots.txt		(from )
00:41:19	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:20	163366/163366	---M--	200	added ('OK')	image/jpg	etag:%2248a1c5f05061c5739de61e42bb85af64%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/15602724516d2a30a15a9ea56f704fd70a1c9275a6.jpg	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/15602724516d2a30a15a9ea56f704fd70a1c9275a6.jpg	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:21	52789/52789	---M--	200	added ('OK')	text/css	etag:%22178b651958ceff556cbc5f355e08bbf1%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631942990ea9e2c0064511a3b530b332ff6727fc.css	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631942990ea9e2c0064511a3b530b332ff6727fc.css	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:21	281631/281631	---M--	200	added ('OK')	text/css	etag:%22801efae0a731de32fa2cd23d5944b565%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563196114f4340934d4a9e2b7bb156cfb5af0658c.css	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563196114f4340934d4a9e2b7bb156cfb5af0658c.css	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:21	15275/15275	---M--	200	added ('OK')	text/css	etag:%2264dcae982b2deef43e9aed68654ea9a7%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194301bab9fab1b932c93708d49a5a49635e84.css	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194301bab9fab1b932c93708d49a5a49635e84.css	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:22	14711/14711	---M--	200	added ('OK')	text/css	etag:%225a8fd4bfe67634c6872238a0fb656bfc%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194593a364d7c704b469e15577711fde05c66a.css	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194593a364d7c704b469e15577711fde05c66a.css	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:22	68579/68579	---M--	200	added ('OK')	image/png	etag:%22d2e9d07b4586e2f08514b53ad5814b2b%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1558210007e791999ba35da3bbfdd57fe0e30df5d3.png	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/1558210007e791999ba35da3bbfdd57fe0e30df5d3.png	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:22	56598/56598	---M--	200	added ('OK')	image/png	etag:%221a377d35f09ed17d7dd65c72c17b747d%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/155983874479e1ba1640fd82be69cde95cb401eb6c.png	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/155983874479e1ba1640fd82be69cde95cb401eb6c.png	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:22	32906/32906	---M--	200	added ('OK')	image/jpg	etag:%22cb4afc6759ad890f61cf889ee44a22cf%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1563192530eca0cc0240cc80b6d74474723b61afae.jpg	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/1563192530eca0cc0240cc80b6d74474723b61afae.jpg	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:23	3379/3379	---M--	200	added ('OK')	image/jpg	etag:%22adbb56008c23a9f5df346cbbaccacef9%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/15631474212b80cf0758b854681e86b089d3123714.jpg	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/15631474212b80cf0758b854681e86b089d3123714.jpg	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:24	23438/23438	---M--	200	added ('OK')	application/javascript	etag:%226863f6e390060c097da580136d1dcaf2%22	https://d13nu0oomnx5ti.cloudfront.net/ORMqs9.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13nu0oomnx5ti.cloudfront.net/ORMqs9.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:25	86927/86927	---M--	200	added ('OK')	application/x-javascript	etag:%22a09e13ee94d51c524b7e2a728c7d4039%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194463bc66e25d79d63b124e302cf030d5249a.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194463bc66e25d79d63b124e302cf030d5249a.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:25	51039/51039	---M--	200	added ('OK')	application/x-javascript	etag:%2267176c242e1bdc20603c878dee836df3%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194332a1feff07bb466fd26feaa3594da71117.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194332a1feff07bb466fd26feaa3594da71117.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:25	20337/20337	---M--	200	added ('OK')	application/x-javascript	etag:%2283fb8c4d9199dce0224da0206423106f%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943349d83cf34d15b5929728eb18de71c637a.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943349d83cf34d15b5929728eb18de71c637a.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:25	67751/67751	---M--	200	added ('OK')	application/x-javascript	etag:%22090dfbc88a4a0693b8de1dab9f9aacb2%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943347b770019a79c671770e970c52fd26ba9.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943347b770019a79c671770e970c52fd26ba9.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:25	22503/22503	---M--	200	added ('OK')	application/x-javascript	etag:%22565d04ed15cfcb26925b16b299fd96cd%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943339d020e3f002200ffc76bc5ae7b11fb6e.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15631943339d020e3f002200ffc76bc5ae7b11fb6e.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:27	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/www.google-analytics.com/analytics.js	(from https://zapo.site/app/62823c3/?clashroyale)
00:41:28	2891/2891	---M--	200	added ('OK')	image/png	etag:%228b1ed27b99671e12eb12ee20604e89a5%22	https://bucket.cpabuild.com/uploads/1563147420e4f6763c7c258daf4f613ec7b0f85a86.png	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/bucket.cpabuild.com/uploads/1563147420e4f6763c7c258daf4f613ec7b0f85a86.png	(from https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194593a364d7c704b469e15577711fde05c66a.css)
00:41:29	11943/11943	---M--	200	added ('OK')	image/png	etag:%22a20f4866c0ab033076c41caadc7ec7b3%22	https://bucket.cpabuild.com/uploads/1563147421a266c90b228857071200e8df583882fa.png	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/bucket.cpabuild.com/uploads/1563147421a266c90b228857071200e8df583882fa.png	(from https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194593a364d7c704b469e15577711fde05c66a.css)
00:41:30	13/13	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Aug%202021%2023:41:31%20GMT	https://zapo.site/app/62823c3/popper.js	C:/Users/LIVING%20FAITH%20CHURCH/Desktop/Clash%20of/Clash%20of/zapo.site/app/62823c3/popper.html	(from https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1563194332a1feff07bb466fd26feaa3594da71117.js)
